Abacus Purification,E,aqaeaq,0,list_size
Additive Distillation,NE,waaw,0,add
Akasha's Distillation,W,qqqwqqqqqaq,0,akashic/read
Akasha's Gambit,E,eeeweeeeede,0,akashic/write
Alidade's Purification,E,wa,0,get_entity_look
Alter Gravity,NW,wdwdwaaqw,0,interop/gravity/set
Alter Scale,NE,ddwdwwdwwd,0,interop/pehkui/set
Arc's Reflection,NE,qdwdq,0,const/double/pi
Archer's Distillation,E,wqaawdd,0,raycast
Architect's Distillation,E,weddwaa,0,raycast/axis
Assessor's Purification,E,wdwewewewewewqw,0,writable/entity
Assessor's Reflection,E,deeeeeq,0,writable
Auditor's Purification,E,wawqwqwqwqwqwew,0,readable/entity
Auditor's Reflection,E,aqqqqqe,0,readable
Augur's Exaltation,SE,awdd,0,if
Augur's Purification,NE,aw,0,bool_coerce
Axial Purification,NW,qqqqqaww,0,coerce_axial
Banish Sentinel,NE,qdwdqdw,0,sentinel/destroy
Black Sun's Nadir,SW,qqqqqaewawawe,0,potion/wither
Black Sun's Zenith,SW,qqaawawaeqqdd,1,potion/absorption
Blink,SW,awqqqwaq,0,blink
Blue Sun's Nadir,W,qqqqqawwawawd,0,potion/levitation
Blue Sun's Zenith,W,qqqaawawaeqdd,1,potion/night_vision
Bookkeeper's Gambit,,,0,mask
Break Block,E,qaqqqqq,0,break_block
Ceiling Purification,E,qwe,0,ceil
Charon's Gambit,SW,aqdee,0,halt
Chronicler's Gambit,E,wdwewewewewew,0,write/entity
Chronicler's Purification,E,wawqwqwqwqwqw,0,read/entity
Circle's Reflection,NW,eawae,0,const/double/tau
Combination Distillation,NW,qaeaq,0,concat
Compass' Purification,E,aa,0,entity_pos/eye
Compass' Purification II,NE,dd,0,entity_pos/foot
Conjunction Distillation,NE,wdw,0,and
Conjure Block,NE,qqa,0,conjure_block
Conjure Light,NE,qqd,0,conjure_light
Consideration,W,qqqaw,0,escape
Cosine Purification,SE,qqqqqad,0,cos
Craft Artifact,E,wwaqqqqqeawqwqwqwqwqwwqqeadaeqqeqqeadaeqq,0,craft/artifact
Craft Cypher,E,waqqqqq,0,craft/cypher
Craft Phial,SW,aqqqaqwwaqqqqqeqaqqqawwqwqwqwqwqw,1,craft/battery
Craft Trinket,E,wwaqqqqqeaqeaeqqqeaeq,0,craft/trinket
Create Lava,E,eaqawqadaqd,1,create_lava
Create Water,SE,aqawqadaq,0,create_water
Destroy Liquid,SW,dedwedade,0,destroy_water
Dioscuri Gambit,E,aadadaaw,0,2dup
Disjunction Distillation,SE,waw,0,or
Dispel Rain,E,eeewwweeewwaqqddqdqd,1,dispel_rain
Division Distillation,NE,wdedw,0,div_cross
Edify Sapling,NE,wqaqwd,0,edify
Entity Purification,SE,qqqqqdaqa,0,get_entity
Entity Purification: Animal,SE,qqqqqdaqaawa,0,get_entity/animal
Entity Purification: Item,SE,qqqqqdaqaaww,0,get_entity/item
Entity Purification: Living,SE,qqqqqdaqaawd,0,get_entity/living
Entity Purification: Monster,SE,qqqqqdaqaawq,0,get_entity/monster
Entity Purification: Player,SE,qqqqqdaqaawe,0,get_entity/player
Entropy Reflection,NW,eqqq,0,random
